piece_name,H1,H4,GS
get_0.mid,1.3146758166557049,1.9917335341513567,0.6970430107526882
get_1.mid,1.6388562237475952,2.149137122928462,0.5594086021505377
get_10.mid,1.273489955994425,1.541657231887269,0.7271925403225806
get_11.mid,1.155174218348852,2.085853992973997,0.7997311827956989
get_12.mid,1.832994499462254,2.4530597287013856,0.6841397849462365
get_13.mid,1.4538115600902306,1.814391804403632,0.7749384236453202
get_14.mid,1.5245729342961671,2.3291656030539936,0.6994623655913978
get_15.mid,1.64024558622436,2.301792087904738,0.7022429435483871
get_16.mid,1.5714262054135641,2.2519304596998304,0.7888104838709677
get_17.mid,1.6265872863620605,2.387700014549264,0.9317204301075269
get_18.mid,1.3548675579565224,1.8181967849678935,0.9357358870967742
get_19.mid,1.3546943331192194,1.702236785259946,0.7613916256157636
get_2.mid,1.3581775098787872,1.9075897704379317,0.728735632183908
get_3.mid,1.2552310232572454,1.8106405069003382,0.8029569892473118
get_4.mid,1.022191420786694,1.4805617010866623,0.6586021505376344
get_5.mid,1.3950770504306724,2.080971986759429,0.7070402298850574
get_6.mid,1.5447498139705103,2.0525716727371375,0.7501260080645161
get_7.mid,1.5936004656890252,1.929077819646436,0.6775453629032258
get_8.mid,1.593073108562662,2.1297762962170808,0.5744707661290323
get_9.mid,1.078586431162252,1.4970052010824664,0.6829022988505747
