piece_name,H1,H4,GS
gt0.mid,2.36813395478762,2.97149309421045,0.785875
gt1.mid,2.3101415663603513,2.8181536881827505,0.6525
gt10.mid,2.539755904034569,2.8160359076570085,0.7480625
gt11.mid,1.9007194784633128,2.350384936942177,0.738375
gt12.mid,2.150339836073378,2.730770879613422,0.645625
gt13.mid,2.003912802586015,2.4347812885983973,0.6894375
gt14.mid,2.009764924806008,2.701598397837078,0.7018125
gt15.mid,2.1649234877580903,2.645093428423728,0.6429375
gt16.mid,1.8025715482833458,2.289234374054814,0.8813125
gt17.mid,1.99267574712176,2.683400897943605,0.7599375
gt18.mid,2.3007820633175524,2.7773153153467716,0.6968125
gt19.mid,2.243687927339318,2.8430525579136,0.8933531746031746
gt2.mid,2.057205881904479,2.6472284346046107,0.6783125
gt20.mid,1.8244099784983492,2.5797361965213295,0.600875
gt3.mid,1.644143630053512,2.3832822528976063,0.8094375
gt4.mid,2.1183747239400663,2.7369837514349173,0.7668690958164642
gt5.mid,1.9294778714391487,2.593369696538707,0.650375
gt6.mid,2.2464876552730613,2.760573981219672,0.7495
gt7.mid,2.1244514778770425,2.58509357174067,0.649125
gt8.mid,2.0962969869625656,2.5845426865038297,0.7231875
gt9.mid,1.9042482997754597,2.55614640505295,0.8765625
